Total number of empty tasks: 16384
Remote function test:
mean: 0.8750580668449401; std: 0.05471216610679923
Remote actor test:
mean: 1.4044135689735413; std: 0.09320774016585458 (actors: 1; batch size: 128)
mean: 1.3458025574684143; std: 0.0783353818868384 (actors: 1; batch size: 256)
mean: 1.323533980846405; std: 0.0769353748174253 (actors: 1; batch size: 512)
mean: 1.3445883536338805; std: 0.05761978984887501 (actors: 1; batch size: 1024)
mean: 1.3333155083656312; std: 0.06218646082122131 (actors: 1; batch size: 2048)
mean: 1.3345073914527894; std: 0.06737858747430008 (actors: 1; batch size: 4096)
mean: 1.3509651470184325; std: 0.061547795582027616 (actors: 1; batch size: 8192)
mean: 1.3849393272399901; std: 0.05868835585416867 (actors: 1; batch size: 16384)
mean: 0.9363393640518188; std: 0.12177581464391575 (actors: 2; batch size: 128)
mean: 0.8753388571739197; std: 0.12348213737246658 (actors: 2; batch size: 256)
mean: 0.8473293828964233; std: 0.1409159448234525 (actors: 2; batch size: 512)
mean: 0.8950939226150513; std: 0.19403671802082684 (actors: 2; batch size: 1024)
mean: 0.8557637500762939; std: 0.17828616975381367 (actors: 2; batch size: 2048)
mean: 0.851636061668396; std: 0.1609635198463125 (actors: 2; batch size: 4096)
mean: 0.8314836311340332; std: 0.12468867476193453 (actors: 2; batch size: 8192)
mean: 0.7679763102531433; std: 0.1953390557753996 (actors: 4; batch size: 128)
mean: 0.8087412357330322; std: 0.31489618711582895 (actors: 4; batch size: 256)
mean: 0.7405987501144409; std: 0.22177899660321676 (actors: 4; batch size: 512)
mean: 0.7328220915794372; std: 0.2931336844387954 (actors: 4; batch size: 1024)
mean: 0.6771365571022033; std: 0.24111898448240335 (actors: 4; batch size: 2048)
mean: 0.7494902515411377; std: 0.3952315510125491 (actors: 4; batch size: 4096)
mean: 0.7611405348777771; std: 0.21489279941075531 (actors: 8; batch size: 128)
mean: 0.9116788053512573; std: 0.38291518073135994 (actors: 8; batch size: 256)
mean: 0.8078273797035217; std: 0.2970539625420474 (actors: 8; batch size: 512)
mean: 0.9276802158355713; std: 0.39891459105736904 (actors: 8; batch size: 1024)
mean: 0.8946715927124024; std: 0.4441849767247143 (actors: 8; batch size: 2048)
mean: 1.172782506942749; std: 0.4738603551339524 (actors: 16; batch size: 128)
mean: 1.1092288565635682; std: 0.4656039190066257 (actors: 16; batch size: 256)
mean: 1.049108407497406; std: 0.4185602500666821 (actors: 16; batch size: 512)
mean: 1.1166729140281677; std: 0.4421726030884524 (actors: 16; batch size: 1024)
Total number of experiments conducted for calculating mean/std: 100
